,Title,Release Year,Genre,IMDb Page Link
822,Briarpatch,(2019– ),"
Crime            ",http://www.imdb.com/title/tt8289758/
823,Kin,(I) (2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt6017942/
824,Angie Tribeca,(2016– ),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt3597790/
825,Breaking In,(2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt7137846/
826,Galveston,(2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2315596/
827,Madness in the Method,(2019),"
Comedy, Crime            ",http://www.imdb.com/title/tt6038042/
828,Capote,(2005),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0379725/
829,The Best Offer,(2013),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1924396/
830,Blues Brothers 2000,(1998),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0118747/
831,Crank,(2006),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0479884/
832,Cruising,(1980),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0080569/
833,Keanu,(2016),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt4139124/
834,Let's Be Cops,(2014),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1924435/
835,Super Troopers 2,(2018),"
Comedy, Crime, Mystery            ",http://www.imdb.com/title/tt0859635/
836,Loving Vincent,(2017),"
Animation, Biography, Crime            ",http://www.imdb.com/title/tt3262342/
837,The Frozen Ground,(2013),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2005374/
838,Kung Fury 2,,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt5765844/
839,Bully,(2001),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0242193/
840,Body Double,(1984),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0086984/
841,American Crime,(2015–2017),"
Crime, Drama            ",http://www.imdb.com/title/tt3488298/
842,Super Troopers,(2001),"
Comedy, Crime, Mystery            ",http://www.imdb.com/title/tt0247745/
843,Crossing Jordan,(2001–2007),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0284718/
844,Forever,(2014–2015),"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt3487382/
845,The Haves and the Have Nots,(2013– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2729716/
846,Bastille Day,(2016),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2368619/
847,To Live and Die in L.A.,(1985),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0090180/
848,The Bad Seed,(1956),"
Crime, Drama, Horror            ",http://www.imdb.com/title/tt0048977/
849,The Devil's Own,(1997),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0118972/
850,The Fix,(2019),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt7942774/
851,Boyka: Undisputed,(2016 Video),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3344680/
852,Thief,(1981),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0083190/
853,Backdraft,(1991),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0101393/
854,Birds of Passage,(2018),"
Crime, Drama            ",http://www.imdb.com/title/tt6386748/
855,Catwoman,(2004),"
Action, Crime, Fantasy            ",http://www.imdb.com/title/tt0327554/
856,Four Brothers,(2005),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0430105/
857,Disturbia,(2007),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0486822/
858,M,(1931),"
Crime, Mystery, Thriller            ",http://www.imdb.com/title/tt0022100/
859,A Walk Among the Tombstones,(2014),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0365907/
860,The Hurricane Heist,(2018),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5360952/
861,The Six Million Dollar Man,(1974–1978),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt0071054/
862,Alfred Hitchcock Presents,(1955–1962),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0047708/
863,Kojak,(1973–1978),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0069599/
864,Wild Bill,(2019– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt9118930/
865,A Most Wanted Man,(2014),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt1972571/
866,The Naked Gun: From the Files of Police Squad!,(1988),"
Comedy, Crime            ",http://www.imdb.com/title/tt0095705/
867,Dolores Claiborne,(1995),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0109642/
868,After Hours,(1985),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0088680/
869,Delhi Crime,(2019– ),"
Crime, Drama            ",http://www.imdb.com/title/tt9398466/
870,All Good Things,(2010),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1175709/
871,How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt9184994/
872,Lilyhammer,(2012–2014),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt1958961/
873,Rookie Blue,(2010–2015),"
Crime, Drama            ",http://www.imdb.com/title/tt1442065/
874,Lizzie,(2018),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt5160938/
875,Gold,(I) (2016),"
Crime, Drama            ",http://www.imdb.com/title/tt1800302/
876,The Client,(1994),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0109446/
877,Better Watch Out,(II) (2016),"
Comedy, Crime, Horror            ",http://www.imdb.com/title/tt4443658/
878,The Case That Haunts Me,(2018– ),"
Crime            ",http://www.imdb.com/title/tt9601246/
879,Less Than Zero,(1987),"
Crime, Drama            ",http://www.imdb.com/title/tt0093407/
880,Dark Heart,(2016– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt5866284/
881,A Prayer Before Dawn,(2017),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt4080956/
882,Parker,(2013),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt1904996/
883,Notorious,(2009),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0472198/
884,R.I.P.D.,(2013),"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt0790736/
885,Rounders,(1998),"
Crime, Drama            ",http://www.imdb.com/title/tt0128442/
886,Leatherface,(2017),"
Crime, Horror, Thriller            ",http://www.imdb.com/title/tt2620590/
887,The Jackal,(1997),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0119395/
888,The Accused,(1988),"
Crime, Drama            ",http://www.imdb.com/title/tt0094608/
889,The Saint,(2017 TV Movie),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2569088/
890,Evaru,(2019),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt10545484/
891,Escape from Alcatraz,(1979),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0079116/
892,Dope,(2015),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt3850214/
893,Wonderland,(II) (2019),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt8629748/
894,Conversations with a Killer: The Ted Bundy Tapes,(2019– ),"
Documentary, Crime, History            ",http://www.imdb.com/title/tt9425132/
895,Unité 42,(2017– ),"
Crime, Drama            ",http://www.imdb.com/title/tt6136644/
896,Barnaby Jones,(1973–1980),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0069557/
897,Middle Men,(2009),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt1251757/
898,Boys Don't Cry,(1999),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0171804/
899,The Longest Yard,(1974),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0071771/
900,Maigret Sets a Trap,(2016 TV Movie),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt5012394/
901,Twins,(1988),"
Comedy, Crime            ",http://www.imdb.com/title/tt0096320/
902,Child 44,(2015),"
Crime, Drama, History            ",http://www.imdb.com/title/tt1014763/
903,The Black Dahlia,(2006),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0387877/
904,The Name of the Rose,(1986),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0091605/
905,John Q,(2002),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0251160/
906,The French Connection,(1971),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0067116/
907,American Gigolo,(1980),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0080365/
908,I Don't Feel at Home in This World Anymore.,(2017),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt5710514/
909,Paradise PD,(2018– ),"
Animation, Comedy, Crime            ",http://www.imdb.com/title/tt8235236/
910,White Girl,(2016),"
Crime, Drama            ",http://www.imdb.com/title/tt4129870/
911,Phone Booth,(2002),"
Crime, Thriller            ",http://www.imdb.com/title/tt0183649/
912,State of Play,(2009),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0473705/
913,Baptiste,(2019– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt8259142/
914,American Dreamer,(2018),"
Crime, Thriller            ",http://www.imdb.com/title/tt6769326/
